match_id,team,opponent_team,match_date,venue,Season,runs_scored,wickets_lost ,overs_faced,runs_conceded,wickets_taken,match_result,man_of_the_match
1304075,Chennai Super Kings,Gujarat Titans,17-04-2022,Pune,2022,182,4,18,186,0,Gujarat Titans,DA Miller
1304074,Punjab Kings,Sunrisers Hyderabad,17-04-2022,Mumbai,2022,206,10,16,208,9,Sunrisers Hyderabad,Umran Malik
1304073,Royal Challengers Bangalore,Delhi Capitals,16-04-2022,Mumbai,2022,164,2,12,122,2,Royal Challengers Bangalore,KD Karthik
1304072,Lucknow Super Giants,Mumbai Indians,16-04-2022,Mumbai,2022,185,5,10,124,1,Lucknow Super Giants,KL Rahul
1304071,Kolkata Knight Riders,Sunrisers Hyderabad,15-04-2022,Mumbai,2022,217,4,17,220,9,Sunrisers Hyderabad,RA Tripathi
1304070,Gujarat Titans,Rajasthan Royals,14-04-2022,Mumbai,2022,175,0,14,119,10,Gujarat Titans,HH Pandya
1304069,Punjab Kings,Mumbai Indians,13-04-2022,Pune,2022,175,2,7,106,10,Punjab Kings,MA Agarwal
1304068,Chennai Super Kings,Royal Challengers Bangalore,12-04-2022,Mumbai,2022,104,9,10,89,3,Chennai Super Kings,S Dube
1304067,Gujarat Titans,Sunrisers Hyderabad,11-04-2022,Mumbai,2022,151,6,16,153,0,Sunrisers Hyderabad,KS Williamson
1304066,Rajasthan Royals,Lucknow Super Giants,10-04-2022,Mumbai,2022,109,10,12,78,6,Rajasthan Royals,YS Chahal
1304065,Delhi Capitals,Kolkata Knight Riders,10-04-2022,Mumbai,2022,191,0,7,109,10,Delhi Capitals,Kuldeep Yadav
1304064,Mumbai Indians,Royal Challengers Bangalore,09-04-2022,Pune,2022,177,4,14,181,3,Royal Challengers Bangalore,Anuj Rawat
1304063,Chennai Super Kings,Sunrisers Hyderabad,09-04-2022,Mumbai,2022,213,3,16,216,4,Sunrisers Hyderabad,Abhishek Sharma
1304062,Punjab Kings,Gujarat Titans,08-04-2022,Mumbai,2022,192,9,20,196,6,Gujarat Titans,Shubman Gill
1304061,Delhi Capitals,Lucknow Super Giants,07-04-2022,Mumbai,2022,79,10,7,81,10,Lucknow Super Giants,Q de Kock
1304060,Mumbai Indians,Kolkata Knight Riders,06-04-2022,Pune,2022,98,4,19,102,1,Kolkata Knight Riders,PJ Cummins
1304059,Rajasthan Royals,Royal Challengers Bangalore,05-04-2022,Mumbai,2022,70,0,15,73,7,Royal Challengers Bangalore,KD Karthik
1304058,Lucknow Super Giants,Sunrisers Hyderabad,04-04-2022,Mumbai,2022,211,2,9,206,5,Lucknow Super Giants,Avesh Khan
1304057,Punjab Kings,Chennai Super Kings,03-04-2022,Mumbai,2022,100,4,12,71,2,Punjab Kings,LS Livingstone
1304056,Gujarat Titans,Delhi Capitals,02-04-2022,Pune,2022,144,7,18,78,5,Gujarat Titans,LH Ferguson
1304055,Rajasthan Royals,Mumbai Indians,02-04-2022,Mumbai,2022,109,4,19,105,5,Rajasthan Royals,JC Buttler
1304054,Punjab Kings,Kolkata Knight Riders,01-04-2022,Mumbai,2022,79,4,15,84,8,Kolkata Knight Riders,UT Yadav
1304053,Chennai Super Kings,Lucknow Super Giants,31-03-2022,Mumbai,2022,214,5,11,218,8,Lucknow Super Giants,E Lewis
1304052,Kolkata Knight Riders,Royal Challengers Bangalore,30-03-2022,Mumbai,2022,141,5,18,144,3,Royal Challengers Bangalore,PWH de Silva
1304051,Rajasthan Royals,Sunrisers Hyderabad,29-03-2022,Pune,2022,150,5,18,80,5,Rajasthan Royals,SV Samson
1304050,Lucknow Super Giants,Gujarat Titans,28-03-2022,Mumbai,2022,115,2,15,118,4,Gujarat Titans,Mohammed Shami
1304049,Royal Challengers Bangalore,Punjab Kings,27-03-2022,Mumbai,2022,73,5,19,75,5,Punjab Kings,OF Smith
1304048,Mumbai Indians,Delhi Capitals,27-03-2022,Mumbai,2022,126,8,18,130,7,Delhi Capitals,Kuldeep Yadav
1304047,Chennai Super Kings,Kolkata Knight Riders,26-03-2022,Mumbai,2022,143,6,14,147,2,Kolkata Knight Riders,UT Yadav
1254117,Chennai Super Kings,Kolkata Knight Riders,15-10-2021,Dubai,2021,146,9,12,114,2,Chennai Super Kings,F du Plessis
1254116,Delhi Capitals,Kolkata Knight Riders,13-10-2021,Sharjah,2021,69,5,9,73,0,Kolkata Knight Riders,VR Iyer
1254115,Royal Challengers Bangalore,Kolkata Knight Riders,11-10-2021,Sharjah,2021,190,9,13,193,1,Kolkata Knight Riders,SP Narine
1254114,Delhi Capitals,Chennai Super Kings,10-10-2021,Dubai,2021,153,2,16,154,8,Chennai Super Kings,RD Gaikwad
1254101,Delhi Capitals,Royal Challengers Bangalore,08-10-2021,Dubai,2021,173,6,10,175,7,Royal Challengers Bangalore,KS Bharat
1254088,Mumbai Indians,Sunrisers Hyderabad,08-10-2021,Abu Dhabi,2021,133,4,8,83,1,Mumbai Indians,Ishan Kishan
1254106,Kolkata Knight Riders,Rajasthan Royals,07-10-2021,Sharjah,2021,71,5,12,67,6,Kolkata Knight Riders,Shivam Mavi
1254094,Chennai Super Kings,Punjab Kings,07-10-2021,Dubai,2021,138,6,7,143,10,Punjab Kings,KL Rahul
1254095,Sunrisers Hyderabad,Royal Challengers Bangalore,06-10-2021,Abu Dhabi,2021,80,6,15,69,3,Sunrisers Hyderabad,KS Williamson
1254093,Rajasthan Royals,Mumbai Indians,05-10-2021,Sharjah,2021,122,10,8,127,3,Mumbai Indians,NM Coulter-Nile
1254110,Chennai Super Kings,Delhi Capitals,04-10-2021,Dubai,2021,134,5,16,135,10,Delhi Capitals,AR Patel
1254090,Royal Challengers Bangalore,Punjab Kings,03-10-2021,Sharjah,2021,69,7,8,67,0,Royal Challengers Bangalore,GJ Maxwell
1254109,Sunrisers Hyderabad,Kolkata Knight Riders,03-10-2021,Dubai,2021,168,10,7,170,0,Kolkata Knight Riders,Shubman Gill
1254112,Mumbai Indians,Delhi Capitals,02-10-2021,Sharjah,2021,77,9,16,78,10,Delhi Capitals,AR Patel
1254089,Chennai Super Kings,Rajasthan Royals,02-10-2021,Abu Dhabi,2021,109,0,18,113,9,Rajasthan Royals,RD Gaikwad
1254102,Kolkata Knight Riders,Punjab Kings,01-10-2021,Dubai,2021,164,0,20,169,10,Punjab Kings,KL Rahul
1254091,Sunrisers Hyderabad,Chennai Super Kings,30-09-2021,Sharjah,2021,94,7,11,98,8,Chennai Super Kings,JR Hazlewood
1254103,Rajasthan Royals,Royal Challengers Bangalore,29-09-2021,Dubai,2021,158,4,11,161,10,Royal Challengers Bangalore,YS Chahal
1254099,Punjab Kings,Mumbai Indians,28-09-2021,Abu Dhabi,2021,186,0,11,188,1,Mumbai Indians,KA Pollard
1254092,Delhi Capitals,Kolkata Knight Riders,28-09-2021,Sharjah,2021,97,8,15,99,0,Kolkata Knight Riders,SP Narine
1254100,Rajasthan Royals,Sunrisers Hyderabad,27-09-2021,Dubai,2021,171,6,17,174,8,Sunrisers Hyderabad,JJ Roy
1254098,Kolkata Knight Riders,Chennai Super Kings,26-09-2021,Abu Dhabi,2021,172,2,20,176,5,Chennai Super Kings,RA Jadeja
1254108,Royal Challengers Bangalore,Mumbai Indians,26-09-2021,Dubai,2021,78,4,7,75,1,Royal Challengers Bangalore,GJ Maxwell
1254097,Delhi Capitals,Rajasthan Royals,25-09-2021,Abu Dhabi,2021,146,4,8,85,4,Delhi Capitals,SS Iyer
1254107,Punjab Kings,Sunrisers Hyderabad,25-09-2021,Sharjah,2021,198,1,17,160,10,Punjab Kings,JO Holder
1254113,Royal Challengers Bangalore,Chennai Super Kings,24-09-2021,Sharjah,2021,186,8,7,187,1,Chennai Super Kings,DJ Bravo
1254096,Mumbai Indians,Kolkata Knight Riders,23-09-2021,Abu Dhabi,2021,80,1,13,84,8,Kolkata Knight Riders,SP Narine
1254105,Sunrisers Hyderabad,Delhi Capitals,22-09-2021,Dubai,2021,116,1,15,119,7,Delhi Capitals,A Nortje
1254111,Rajasthan Royals,Punjab Kings,21-09-2021,Dubai,2021,181,7,16,76,10,Rajasthan Royals,Kartik Tyagi
1254087,Royal Challengers Bangalore,Kolkata Knight Riders,20-09-2021,Abu Dhabi,2021,166,7,11,168,10,Kolkata Knight Riders,CV Varun
1254104,Chennai Super Kings,Mumbai Indians,19-09-2021,Dubai,2021,169,0,12,137,5,Chennai Super Kings,RD Gaikwad
1254086,Punjab Kings,Delhi Capitals,02-05-2021,Ahmedabad,2021,116,10,16,118,9,Delhi Capitals,MA Agarwal
1254085,Rajasthan Royals,Sunrisers Hyderabad,02-05-2021,Delhi,2021,198,4,13,145,8,Rajasthan Royals,JC Buttler
1254084,Chennai Super Kings,Mumbai Indians,01-05-2021,Delhi,2021,213,1,19,215,5,Mumbai Indians,KA Pollard
1254083,Punjab Kings,Royal Challengers Bangalore,30-04-2021,Ahmedabad,2021,151,4,8,85,8,Punjab Kings,Harpreet Brar
1254082,Kolkata Knight Riders,Delhi Capitals,29-04-2021,Ahmedabad,2021,217,8,8,218,6,Delhi Capitals,PP Shaw
1254081,Rajasthan Royals,Mumbai Indians,29-04-2021,Delhi,2021,151,3,11,153,6,Mumbai Indians,Q de Kock
1254080,Sunrisers Hyderabad,Chennai Super Kings,28-04-2021,Delhi,2021,80,4,9,82,6,Chennai Super Kings,RD Gaikwad
1254079,Royal Challengers Bangalore,Delhi Capitals,27-04-2021,Ahmedabad,2021,100,2,8,87,3,Royal Challengers Bangalore,AB de Villiers
1254078,Punjab Kings,Kolkata Knight Riders,26-04-2021,Ahmedabad,2021,150,9,16,152,6,Kolkata Knight Riders,EJG Morgan
1254077,Delhi Capitals,Sunrisers Hyderabad,25-04-2021,Chennai,2021,113,8,7,70,2,Delhi Capitals,PP Shaw
1254076,Chennai Super Kings,Royal Challengers Bangalore,25-04-2021,Mumbai,2021,79,1,11,77,1,Chennai Super Kings,RA Jadeja
1254075,Kolkata Knight Riders,Rajasthan Royals,24-04-2021,Mumbai,2021,207,7,11,208,5,Rajasthan Royals,CH Morris
1254074,Mumbai Indians,Punjab Kings,23-04-2021,Chennai,2021,148,8,13,151,6,Punjab Kings,KL Rahul
1254073,Rajasthan Royals,Royal Challengers Bangalore,22-04-2021,Mumbai,2021,70,0,7,72,1,Royal Challengers Bangalore,D Padikkal
1254072,Chennai Super Kings,Kolkata Knight Riders,21-04-2021,Mumbai,2021,122,9,12,94,2,Chennai Super Kings,F du Plessis
1254071,Punjab Kings,Sunrisers Hyderabad,21-04-2021,Chennai,2021,103,1,10,105,6,Sunrisers Hyderabad,JM Bairstow
1254070,Mumbai Indians,Delhi Capitals,20-04-2021,Chennai,2021,115,10,11,118,9,Delhi Capitals,A Mishra
1254069,Chennai Super Kings,Rajasthan Royals,19-04-2021,Mumbai,2021,81,1,10,76,7,Chennai Super Kings,MM Ali
1254068,Punjab Kings,Delhi Capitals,18-04-2021,Mumbai,2021,175,10,9,180,4,Delhi Capitals,S Dhawan
1254067,Royal Challengers Bangalore,Kolkata Knight Riders,18-04-2021,Chennai,2021,127,3,13,85,9,Royal Challengers Bangalore,AB de Villiers
1254066,Mumbai Indians,Sunrisers Hyderabad,17-04-2021,Chennai,2021,82,1,15,79,9,Mumbai Indians,KA Pollard
1254065,Punjab Kings,Chennai Super Kings,16-04-2021,Mumbai,2021,130,6,10,135,0,Chennai Super Kings,DL Chahar
1254064,Delhi Capitals,Rajasthan Royals,15-04-2021,Mumbai,2021,93,2,7,98,7,Rajasthan Royals,JD Unadkat
1254063,Royal Challengers Bangalore,Sunrisers Hyderabad,14-04-2021,Chennai,2021,163,8,18,102,5,Royal Challengers Bangalore,GJ Maxwell
1254062,Mumbai Indians,Kolkata Knight Riders,13-04-2021,Chennai,2021,143,8,8,98,5,Mumbai Indians,RD Chahar
1254061,Punjab Kings,Rajasthan Royals,12-04-2021,Mumbai,2021,125,4,17,96,4,Punjab Kings,SV Samson
1254060,Kolkata Knight Riders,Sunrisers Hyderabad,11-04-2021,Chennai,2021,138,6,16,77,8,Kolkata Knight Riders,N Rana
1254059,Chennai Super Kings,Delhi Capitals,10-04-2021,Mumbai,2021,113,5,7,118,5,Delhi Capitals,S Dhawan
1254058,Mumbai Indians,Royal Challengers Bangalore,09-04-2021,Chennai,2021,174,6,9,175,5,Royal Challengers Bangalore,HV Patel
1237181,Delhi Capitals,Mumbai Indians,10-11-2020,NA,2020/21,129,1,13,133,2,Mumbai Indians,TA Boult
1237180,Delhi Capitals,Sunrisers Hyderabad,08-11-2020,Abu Dhabi,2020/21,218,0,16,103,10,Delhi Capitals,MP Stoinis
1237178,Royal Challengers Bangalore,Sunrisers Hyderabad,06-11-2020,Abu Dhabi,2020/21,103,8,14,104,8,Sunrisers Hyderabad,KS Williamson
1237177,Mumbai Indians,Delhi Capitals,05-11-2020,NA,2020/21,83,9,18,81,4,Mumbai Indians,JJ Bumrah
1216495,Mumbai Indians,Sunrisers Hyderabad,03-11-2020,NA,2020/21,117,10,13,122,7,Sunrisers Hyderabad,S Nadeem
1216505,Royal Challengers Bangalore,Delhi Capitals,02-11-2020,Abu Dhabi,2020/21,168,7,8,169,0,Delhi Capitals,A Nortje
1216530,Kolkata Knight Riders,Rajasthan Royals,01-11-2020,NA,2020/21,86,8,19,84,3,Kolkata Knight Riders,PJ Cummins
1216506,Kings XI Punjab,Chennai Super Kings,01-11-2020,Abu Dhabi,2020/21,191,0,17,195,9,Chennai Super Kings,RD Gaikwad
1216535,Delhi Capitals,Mumbai Indians,31-10-2020,NA,2020/21,156,6,8,160,4,Mumbai Indians,Ishan Kishan
1216502,Royal Challengers Bangalore,Sunrisers Hyderabad,31-10-2020,NA,2020/21,103,5,20,104,5,Sunrisers Hyderabad,Sandeep Sharma
1216537,Kings XI Punjab,Rajasthan Royals,30-10-2020,Abu Dhabi,2020/21,201,9,20,204,4,Rajasthan Royals,BA Stokes
1216536,Kolkata Knight Riders,Chennai Super Kings,29-10-2020,NA,2020/21,122,0,9,123,2,Chennai Super Kings,RD Gaikwad
1216499,Royal Challengers Bangalore,Mumbai Indians,28-10-2020,Abu Dhabi,2020/21,90,0,17,95,3,Mumbai Indians,SA Yadav
1216524,Sunrisers Hyderabad,Delhi Capitals,27-10-2020,NA,2020/21,176,5,18,119,10,Sunrisers Hyderabad,WP Saha
1216520,Kolkata Knight Riders,Kings XI Punjab,26-10-2020,NA,2020/21,160,10,13,165,3,Kings XI Punjab,CH Gayle
1216541,Mumbai Indians,Rajasthan Royals,25-10-2020,Abu Dhabi,2020/21,218,8,17,221,1,Rajasthan Royals,BA Stokes
1216544,Royal Challengers Bangalore,Chennai Super Kings,25-10-2020,NA,2020/21,144,8,18,149,0,Chennai Super Kings,RD Gaikwad
1216498,Kings XI Punjab,Sunrisers Hyderabad,24-10-2020,NA,2020/21,198,1,9,123,5,Kings XI Punjab,CJ Jordan
1216497,Kolkata Knight Riders,Delhi Capitals,24-10-2020,Abu Dhabi,2020/21,204,4,12,115,8,Kolkata Knight Riders,CV Varun
1216521,Chennai Super Kings,Mumbai Indians,23-10-2020,NA,2020/21,150,6,8,151,0,Mumbai Indians,TA Boult
1216518,Rajasthan Royals,Sunrisers Hyderabad,22-10-2020,NA,2020/21,125,5,10,130,1,Sunrisers Hyderabad,MK Pandey
1216494,Kolkata Knight Riders,Royal Challengers Bangalore,21-10-2020,Abu Dhabi,2020/21,142,2,16,143,0,Royal Challengers Bangalore,Mohammed Siraj
1216546,Delhi Capitals,Kings XI Punjab,20-10-2020,NA,2020/21,82,0,16,85,9,Kings XI Punjab,S Dhawan
1216533,Chennai Super Kings,Rajasthan Royals,19-10-2020,Abu Dhabi,2020/21,186,5,15,188,3,Rajasthan Royals,JC Buttler
1216512,Kolkata Knight Riders,Sunrisers Hyderabad,18-10-2020,Abu Dhabi,2020/21,97,2,17,82,10,Kolkata Knight Riders,LH Ferguson
1216517,Mumbai Indians,Kings XI Punjab,18-10-2020,NA,2020/21,161,3,17,164,5,Kings XI Punjab,KL Rahul
1216522,Rajasthan Royals,Royal Challengers Bangalore,17-10-2020,NA,2020/21,77,1,15,81,2,Royal Challengers Bangalore,AB de Villiers
1216509,Chennai Super Kings,Delhi Capitals,17-10-2020,NA,2020/21,134,9,8,139,10,Delhi Capitals,S Dhawan
1216526,Kolkata Knight Riders,Mumbai Indians,16-10-2020,Abu Dhabi,2020/21,151,7,18,156,8,Mumbai Indians,Q de Kock
1216531,Royal Challengers Bangalore,Kings XI Punjab,15-10-2020,NA,2020/21,118,0,13,119,5,Kings XI Punjab,KL Rahul
1216543,Delhi Capitals,Rajasthan Royals,14-10-2020,NA,2020/21,104,8,12,72,10,Delhi Capitals,A Nortje
1216528,Chennai Super Kings,Sunrisers Hyderabad,13-10-2020,NA,2020/21,205,10,12,83,4,Chennai Super Kings,RA Jadeja
1216540,Royal Challengers Bangalore,Kolkata Knight Riders,12-10-2020,NA,2020/21,170,8,18,121,6,Royal Challengers Bangalore,AB de Villiers
1216507,Sunrisers Hyderabad,Rajasthan Royals,11-10-2020,NA,2020/21,95,8,13,98,0,Rajasthan Royals,R Tewatia
1216529,Delhi Capitals,Mumbai Indians,11-10-2020,Abu Dhabi,2020/21,152,6,8,156,2,Mumbai Indians,Q de Kock
1216523,Kolkata Knight Riders,Kings XI Punjab,10-10-2020,Abu Dhabi,2020/21,207,1,13,78,0,Kolkata Knight Riders,KD Karthik
1216525,Royal Challengers Bangalore,Chennai Super Kings,10-10-2020,NA,2020/21,204,10,15,155,2,Royal Challengers Bangalore,V Kohli
1216500,Delhi Capitals,Rajasthan Royals,09-10-2020,NA,2020/21,168,1,18,116,1,Delhi Capitals,R Ashwin
1216542,Sunrisers Hyderabad,Kings XI Punjab,08-10-2020,NA,2020/21,218,7,19,174,5,Sunrisers Hyderabad,JM Bairstow
1216501,Kolkata Knight Riders,Chennai Super Kings,07-10-2020,Abu Dhabi,2020/21,129,5,7,92,7,Kolkata Knight Riders,RA Tripathi
1216511,Mumbai Indians,Rajasthan Royals,06-10-2020,Abu Dhabi,2020/21,75,2,12,72,3,Mumbai Indians,SA Yadav
1216519,Delhi Capitals,Royal Challengers Bangalore,05-10-2020,NA,2020/21,135,4,15,107,2,Delhi Capitals,AR Patel
1216513,Kings XI Punjab,Chennai Super Kings,04-10-2020,NA,2020/21,190,6,15,191,5,Chennai Super Kings,SR Watson
1216538,Mumbai Indians,Sunrisers Hyderabad,04-10-2020,NA,2020/21,103,5,10,100,1,Mumbai Indians,TA Boult
1216514,Rajasthan Royals,Royal Challengers Bangalore,03-10-2020,Abu Dhabi,2020/21,184,10,15,185,4,Royal Challengers Bangalore,YS Chahal
1216515,Delhi Capitals,Kolkata Knight Riders,03-10-2020,NA,2020/21,127,3,11,102,1,Delhi Capitals,SS Iyer
1216516,Sunrisers Hyderabad,Chennai Super Kings,02-10-2020,NA,2020/21,119,3,17,77,1,Sunrisers Hyderabad,PK Garg
1216503,Mumbai Indians,Kings XI Punjab,01-10-2020,Abu Dhabi,2020/21,101,9,15,70,0,Mumbai Indians,KA Pollard
1216504,Kolkata Knight Riders,Rajasthan Royals,30-09-2020,NA,2020/21,202,4,20,138,2,Kolkata Knight Riders,Shivam Mavi
1216532,Sunrisers Hyderabad,Delhi Capitals,29-09-2020,Abu Dhabi,2020/21,119,4,17,91,7,Sunrisers Hyderabad,Rashid Khan
1216547,Royal Challengers Bangalore,Mumbai Indians,28-09-2020,NA,2020/21,177,9,11,144,1,Royal Challengers Bangalore,AB de Villiers
1216527,Kings XI Punjab,Rajasthan Royals,27-09-2020,NA,2020/21,177,3,7,180,1,Rajasthan Royals,SV Samson
1216545,Sunrisers Hyderabad,Kolkata Knight Riders,26-09-2020,Abu Dhabi,2020/21,172,10,11,176,10,Kolkata Knight Riders,Shubman Gill
1216539,Delhi Capitals,Chennai Super Kings,25-09-2020,NA,2020/21,119,3,7,69,3,Delhi Capitals,PP Shaw
1216510,Kings XI Punjab,Royal Challengers Bangalore,24-09-2020,NA,2020/21,212,3,17,165,8,Kings XI Punjab,KL Rahul
1216508,Mumbai Indians,Kolkata Knight Riders,23-09-2020,Abu Dhabi,2020/21,130,3,18,69,5,Mumbai Indians,RG Sharma
1216496,Rajasthan Royals,Chennai Super Kings,22-09-2020,NA,2020/21,135,8,11,120,6,Rajasthan Royals,SV Samson
1216534,Royal Challengers Bangalore,Sunrisers Hyderabad,21-09-2020,NA,2020/21,132,0,20,70,10,Royal Challengers Bangalore,YS Chahal
1216493,Delhi Capitals,Kings XI Punjab,20-09-2020,NA,2020/21,203,10,14,138,0,Delhi Capitals,MP Stoinis
1216492,Mumbai Indians,Chennai Super Kings,19-09-2020,Abu Dhabi,2020/21,115,6,16,118,10,Chennai Super Kings,AT Rayudu
1181768,Mumbai Indians,Chennai Super Kings,12-05-2019,Hyderabad,2019,149,1,10,85,10,Mumbai Indians,JJ Bumrah
1181767,Delhi Capitals,Chennai Super Kings,10-05-2019,Visakhapatnam,2019,159,2,15,162,3,Chennai Super Kings,F du Plessis
1181766,Sunrisers Hyderabad,Delhi Capitals,08-05-2019,Visakhapatnam,2019,113,2,19,116,0,Delhi Capitals,RR Pant
1181764,Chennai Super Kings,Mumbai Indians,07-05-2019,Chennai,2019,87,6,16,90,2,Mumbai Indians,SA Yadav
1178430,Chennai Super Kings,Kings XI Punjab,05-05-2019,Chandigarh,2019,152,1,15,155,4,Kings XI Punjab,KL Rahul
