Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Column1
2631890138,2021-12-24,Systems Analyst,Senior Business Systems Analyst- Remote,Full-time,Associate,5,,Chennai,,,,76,L&T Technology Services,IT services,97%
2727463080,2017-11-11,Software Engineer,"Software Engineer, Games",Full-time,Entry level,4,,Noida,,,,75,Practo,Healthcare,97%
2701736197,2021-03-13,Business Analyst,Business Analyst- Front Office Trading,Contract,Mid-Senior level,7,,Noida,,,,74,Flipkart,E-commerce,97%
2726607761,2017-03-25,Business Analyst,Business Analyst,Full-time,Mid-Senior level,2,,Pune,1083000,2743000,yr,73,Mindtree,IT services,96%
2728949031,2018-06-11,Business Analyst,Product Business Analyst,Full-time,Mid-Senior level,6,,Ranchi,,,,73,Paytm Tickets,Tickets,96%
2680941739,2017-01-20,Product Manager,Product Manager,Full-time,Mid-Senior level,8,,Mumbai,2045000,1687000,yr,72,Godaddy,Hosting,96%
2751546696,2018-06-15,Business Analyst,Gis Business Analyst,Contract,Mid-Senior level,5,,Kolkata,,,,72,Larsen & Toubro Infotech,IT services,96%
2698105546,2020-09-30,Business Analyst,Business Analyst,Full-time,Associate,3,,Bhopal,,,,72,Ansys India,Software,96%
2726620182,2018-04-30,Business Analyst,Business Analyst,Full-time,Mid-Senior level,3,,Ahmedabad,,,,71,WhiteHat Jr,Education,96%
2694218581,2021-01-04,Business Analyst,Business Analyst: Hub Team,Full-time,Associate,5,,Bhopal,,,,71,JioTV,Streaming,96%
2665989194,2021-10-24,Business Analyst,Senior Business Analyst,Full-time,Associate,3,,Bangalore,"13,38,000.00","16,71,000.00",yr,68,HealthifyMe,Health,96%
2749795381,2021-01-24,Business Analyst,Business Analyst,Contract,Mid-Senior level,7,,Noida,,,,65,DHL India,Logistics,96%
2737121076,2021-03-22,Credit Analyst,Credit Analyst,Contract,Associate,5,,Bhubneshwar,,,,65,SAP Labs India,Software,96%
2671978535,2021-02-22,Business Process Analyst,Business Process Analyst,Full-time,Associate,4,,Mysore,,,,64,Treehouse,Education,96%
2662699361,2021-09-01,Product Manager,Product Manager,Full-time,Entry level,0,,Pune,,,,64,Wipro,IT services,96%
2749784977,2020-09-11,Data Engineer,Junior Data Engineer,Full-time,Associate,4,,Gurgaon,,,,63,Snapdeal,E-commerce,95%
2697002803,2017-09-17,Business Analyst,Business Analyst,Contract,Mid-Senior level,4,,Hyderabad,2259000,1936000,hr,62,Ticketmaster India,Tickets,95%
2738174716,2018-06-06,Business Analyst,Information Technology Business Analyst,Full-time,Associate,5,,Ahmedabad,"6,37,000.00","9,19,000.00",yr,62,Panasonic India,Electronics,95%
2687266969,2018-01-30,Business Analyst,Business Analyst,Contract,Associate,3,,Kolkata,,,,60,Aditya Birla Retail,Retail,95%
2698926779,2021-08-29,Business Analyst,Business Analyst,Full-time,Mid-Senior level,7,,Patna,,,,60,Dassault Systèmes India,Software,95%
2739288222,2021-11-13,Business Analyst,Business Analyst,Full-time,Associate,3,,Kolkata,,,,58,Medlife,Pharmacy,95%
2749385182,2017-01-31,Data Analyst,Seniorbusiness Data Analyst,Full-time,Mid-Senior level,6,,Ahmedabad,,,,56,Dassault Systèmes India,Software,94%
2741196696,2019-12-06,Business Analyst,Business Analyst,Full-time,Mid-Senior level,4,,Hyderabad,,,,54,TikTok India,Social media,94%
2731661329,2021-07-19,Ux Researcher,Ux Researcher,Full-time,Mid-Senior level,5,,Gurgaon,,,,54,Facebook India,Social media,94%
2749795844,2020-09-11,Business Analyst,Business Analyst With Healthcare,Contract,Mid-Senior level,9,,Guwahati,,,,53,CureFit,Health,94%
2716536847,2021-02-15,Business Analyst,Business Analyst Intern,Internship,Entry level,2,,Ahmedabad,,,,53,Autodesk India,Software,94%
2706881943,2021-12-01,Data Analyst,Data Analyst,Full-time,Mid-Senior level,6,,Ahmedabad,,,,52,MakeMyTrip,Travel,94%
2673999492,2021-06-14,Data Analyst,Portfolio Data Analyst,Full-time,Entry level,2,,Hyderabad,,,,51,Udemy,Education,93%
2717068869,2020-10-22,Data Analyst,Data Analyst,Contract,Mid-Senior level,4,,Pune,1890000,1990000,hr,50,Paytm,Payments,93%
2687881813,2018-02-25,Ux Researcher,Ux Researcher,Full-time,Mid-Senior level,1,,Indore,1841000,1668000,hr,49,Samsung India,Electronics,93%
2662649006,2018-05-21,Business Analyst,Rpa Business Analyst,Full-time,Mid-Senior level,5,,Mysore,2282000,2586000,yr,49,HostGator,Hosting,93%
2705220760,2017-03-19,Data Analyst,Senior Data Analyst,Full-time,Associate,4,,Pune,,,,48,Zee Entertainment Enterprises,Media,93%
2744662504,2018-03-04,User Experience Researcher,User Experience Researcher,Full-time,Associate,4,,Pune,,,,48,Blue Dart,Logistics,93%
2427803798,2018-12-09,Software Engineer,"Software Engineer, Reliability Infrastructure",Full-time,Mid-Senior level,5,,Noida,,,,48,Zomato Gold,Subscription,93%
2677269436,2017-04-10,Operations Manager,People Operations Manager,Full-time,Associate,3,,Mumbai,,,,47,AMD India,Semiconductors,92%
2679876056,2019-02-16,Quality Assurance Analyst,Software Quality Assurance Analyst,Full-time,Associate,5,,Kolkata,,,,47,Unacademy,Education,92%
2705237572,2020-01-09,Data Analyst,Business Data Analyst,Contract,Mid-Senior level,5,,Hyderabad,,,,47,HealthifyMe,Health,92%
2701853530,2021-10-15,Data Scientist,Data Scientist/User Engagement Liaison,Contract,Mid-Senior level,3,,Bhopal,,,,47,Edureka,Education,92%
2707865977,2018-10-24,Data Analyst,Master Data Analyst,Full-time,Associate,5,,Chandigarh,,,,46,Sony Pictures Networks India,Media,92%
2726110072,2019-11-23,Business Analyst,Business Analyst,Contract,Associate,5,,Indore,,,,46,Google India,Internet,92%
2688456543,2021-03-09,User Experience Researcher,User Experience Researcher,Full-time,Associate,3,,Ahmedabad,,,,46,PTC India,Software,92%
2654790028,2018-05-13,Ux Researcher,Ux Researcher,Full-time,Associate,5,,Ahmedabad,,,,45,HGS (Hinduja Global Solutions),IT services,92%
2721769977,2019-04-09,Data Analyst,Jr Data Analyst,Contract,Entry level,0,,Noida,,,,45,Netflix India,Streaming,92%
2673998683,2020-06-14,Data Analyst,Portfolio Data Analyst,Full-time,Entry level,1,,Noida,,,,45,Oracle India,IT services,92%
2699317808,2017-08-14,Credit Analyst,Credit Analyst,Contract,Associate,3,,Chandigarh,,,,44,Amazon Prime Video,Streaming,92%
2733323024,2017-11-05,User Experience Researcher,User Experience Researcher,Full-time,Mid-Senior level,4,,Mumbai,,,,44,Portea Medical,Healthcare,92%
2693156344,2020-07-11,Data Analyst,Business Data Analyst,Contract,Mid-Senior level,4,,Ahmedabad,,,,44,Cleartrip,Travel,92%
2674753247,2020-10-04,Ux Researcher,Ux Researcher,Contract,Associate,3,,Gurgaon,,,,44,Larsen & Toubro Infotech,IT services,92%
2677638726,2021-08-26,Software Engineer,"Software Engineer, Backend",Full-time,Entry level,1,,Chennai,,,,44,Uber Platinum,Subscription,92%
2681825680,2017-06-16,Senior Analyst,Senior Analyst,Full-time,Mid-Senior level,2,,Ahmedabad,,,,43,Google Pay,Payments,91%
2680641927,2018-08-21,Business Analyst,Curam Business Analyst,Full-time,Mid-Senior level,7,,Gurgaon,,,,43,PayU,Payments,91%
2681732053,2018-12-14,Business Analyst,Techno-Functional Business Analyst,Contract,Mid-Senior level,10,,Ahmedabad,,,,43,Mphasis,IT services,91%
2679862472,2020-05-20,Business Analyst,Business Analyst/Project Manager I,Contract,Associate,4,,Hyderabad,"11,88,000.00","13,33,000.00",hr,43,Quikr,Classifieds,91%
2745241277,2021-06-19,Business Analyst,Customer Portal Business Analyst,Contract,Mid-Senior level,6,,Ahmedabad,,,,43,Zapak,Gaming,91%
2674700357,2017-12-06,Data Analyst,Portfolio Data Analyst,Full-time,Entry level,2,,Bhubneshwar,,,,42,FedEx India,Logistics,91%
2723213063,2019-09-27,Business Analyst,Senior Business Analyst,Contract,Mid-Senior level,4,,Ahmedabad,,,,42,Skillshare,Education,91%
2680651142,2019-12-20,Business Analyst,Techno-Functional Business Analyst,Contract,Mid-Senior level,5,,Pune,,,,42,Mphasis,IT services,91%
2751560259,2021-02-24,Product Manager,Product Manager,Full-time,Entry level,2,,Mysore,,,,42,Capgemini India,IT services,91%
2694571198,2021-04-02,Financial Analyst,Senior Financial Analyst,Full-time,Associate,4,,Mumbai,"5,70,000.00","7,23,000.00",yr,42,CureFit,Health,91%
2681735525,2021-07-20,Business Analyst,Senior Business Analyst Core Banking,Contract,Mid-Senior level,7,,New Delhi,,,,42,Instagram India,Social media,91%
2698239256,2018-05-19,Data Analyst,Senior Data Analyst,Full-time,Mid-Senior level,4,,Noida,,,,41,Gamezy,Fantasy,91%
2726698221,2018-06-23,Data Analyst,Data Analyst Lead,Full-time,Mid-Senior level,5,,Bangalore,,,,41,AMD India,Semiconductors,91%
2682934526,2018-10-16,Business Analyst,Techno-Functional Business Analyst,Contract,Mid-Senior level,5,,Mumbai,,,,41,RedBus,Tickets,91%
2755118967,2021-10-09,Business Analyst,Business Analyst,Contract,Mid-Senior level,6,,Mysore,2095000,2070000,hr,41,Nokia India,Telecom,91%
2728700178,2021-02-03,Business Analyst,Call Center Business Analyst-Remote,Full-time,Associate,5,,Hyderabad,,,,40,Vedantu,Education,90%
2735131749,2021-10-07,Data Analyst,Audience Analytics Data Analyst,Full-time,Mid-Senior level,9,,Jamshedpur,,,,40,Chargebee,Software,90%
2600080983,2019-06-30,Data Scientist,Remote Data Scientist,Full-time,Entry level,3,,Bangalore,,,,39,DMart,Retail,90%
2680944136,2021-09-20,Credit Analyst,Credit Analyst,Contract,Mid-Senior level,3,,Hyderabad,,,,39,FedEx India,Logistics,90%
2671929105,2021-11-10,Product Manager,"Senior Product Manager, Content",Full-time,Mid-Senior level,5,,Ahmedabad,1768000,2676000,yr,39,DHL India,Logistics,90%
2755080685,2020-07-08,Business Analyst,Business Analyst,Full-time,Associate,4,,Nagpur,,,,38,Ixigo,Travel,90%
2738443904,2017-09-04,Credit Analyst,Credit Analyst,Contract,Associate,5,,Patna,,,,37,Dream11,Fantasy,89%
2733670143,2019-08-17,Quality Assurance Analyst,Quality Assurance Analyst,Full-time,Mid-Senior level,5,,Noida,2149000,2105000,yr,37,Practo,Healthcare,89%
2660104862,2020-10-20,Software Engineer,Software Engineer,Full-time,Mid-Senior level,7,,Varanasi,,,,37,Mindtree,IT services,89%
2693288254,2021-01-08,Software Engineer,Software Engineer,Full-time,Entry level,1,,Kolkata,,,,37,Swiggy,Food,89%
2681556646,2021-01-20,Business Analyst,Business Analyst Remote,Contract,Associate,3,,Kolkata,,,,37,SAP Labs India,Software,89%
2752217585,2021-08-19,Credit Analyst,Credit Analyst,Contract,Associate,3,,Bangalore,,,,37,Blue Dart,Logistics,89%
2737082386,2021-12-28,Research Analyst,Market Research Analyst,Full-time,Associate,3,,Hyderabad,,,,37,Sony India,Electronics,89%
2710714409,2017-10-11,Data Analyst,Data Analyst,Full-time,Associate,4,,New Delhi,,,,36,BookMyShow,Tickets,89%
2748338733,2018-10-08,Business Analyst,Business Analyst,Full-time,Associate,5,,Noida,,,,36,WhiteHat Jr,Education,89%
2752466616,2019-05-24,Business Analyst,Business Analyst,Full-time,Mid-Senior level,5,,Kolkata,,,,36,Infosys,IT services,89%
2691418772,2019-06-21,Business Analyst,Business Analyst,Contract,Associate,3,,Ahmedabad,"7,43,000.00","15,34,000.00",hr,36,Godaddy,Hosting,89%
2674703071,2019-07-08,Data Analyst,Portfolio Data Analyst,Full-time,Entry level,1,,Pune,,,,36,Bluehost,Hosting,89%
2719038068,2019-10-14,Business Analyst,Senior Business Analyst,Contract,Mid-Senior level,5,,Mumbai,,,,36,Blue Dart,Logistics,89%
2735142439,2019-10-15,Business Analyst,Senior Supply Chain Business Analyst,Full-time,Mid-Senior level,5,,Pune,,,,36,Ola,Rides,89%
2692434721,2020-02-03,Systems Analyst,Business Systems Analyst,Contract,Mid-Senior level,5,,Patna,,,,36,Schneider Electric India,Automation,89%
2679660842,2020-05-20,Product Manager,Senior Product Manager,Full-time,Associate,3,,Hyderabad,"12,12,000.00","16,67,000.00",yr,36,Portea Medical,Healthcare,89%
2714170462,2021-10-17,Credit Analyst,Credit Analyst,Contract,Mid-Senior level,4,,Ahmedabad,,,,36,Metro Cash & Carry,Wholesale,89%
2754745409,2019-01-24,Systems Analyst,Business Systems Analyst,Contract,Mid-Senior level,6,,Gurgaon,,,,35,Skillshare,Education,88%
2683258690,2019-11-07,Business Analyst,Technical Business Analyst,Full-time,Mid-Senior level,7,,Kolkata,,,,35,Razorpay,Payments,88%
2723219453,2020-01-24,Data Analyst,Business Data Analyst,Contract,Mid-Senior level,6,,Bangalore,,,,35,Reliance Fresh,Retail,88%
2722432534,2020-12-22,Business System Analyst,Business System Analyst,Contract,Mid-Senior level,8,,Nagpur,,,,35,Star India,Media,88%
2721729152,2021-07-19,Business Analyst,Business Analyst,Contract,Associate,5,,Chennai,,,,35,Medlife,Pharmacy,88%
2702459747,2017-12-05,Ux Researcher,Ux Researcher,Full-time,Associate,4,,Chennai,,,,34,Junglee Rummy,Rummy,88%
2633118820,2019-03-04,Business Analyst,Business Analyst,Full-time,Mid-Senior level,6,,Chandigarh,,,,34,Shiprocket,Logistics,88%
2693988274,2020-01-06,Business Analyst,Senior Business Analyst,Full-time,Mid-Senior level,4,,Ahmedabad,,,,34,Practo,Healthcare,88%
2662979921,2021-02-27,Product Manager,Product Manager,Full-time,Entry level,0,,Chandigarh,,,,34,Dream11,Fantasy,88%
2696668177,2021-03-03,Systems Analyst,Business Systems Analyst,Contract,Mid-Senior level,6,,Mumbai,,,,34,Qualcomm India,Semiconductors,88%
2734455785,2021-06-28,Business Analyst,Technical Business Analyst,Full-time,Mid-Senior level,7,,New Delhi,,,,34,Ola Select,Subscription,88%
2732789689,2018-11-24,Business Analyst,Business Analyst,Contract,Mid-Senior level,3,,Chennai,,,,33,Vultr,Cloud,88%
2709241168,2019-10-28,Business Analyst,Business Analyst,Contract,Associate,2,,Lucknow,,,,33,HP India,IT hardware,88%
2690362328,2020-01-05,Business Analyst,Business Analyst,Full-time,Associate,4,,Chandigarh,,,,33,Shiprocket,Logistics,88%
2700068168,2021-04-04,Financial Analyst,Senior Financial Analyst,Full-time,Director,12,,New Delhi,3713000,5562000,yr,33,Indian Rummy,Rummy,88%
2702759114,2018-02-18,Business Analyst,Call Center Business Analyst-Remote,Full-time,Associate,4,,Noida,,,,32,Flipkart Plus,Subscription,87%
2692700147,2020-01-13,Business Analyst,Business Analyst,Contract,Mid-Senior level,7,,Chennai,,,,32,MyFab11,Fantasy,87%
2715498885,2020-09-27,Business Analyst,Business Analyst,Contract,Mid-Senior level,8,,New Delhi,1312000,1950000,hr,32,HealthifyMe,Health,87%
2712471903,2021-02-26,Data Scientist,"Remote Data Scientist, Strategic Initiatives",Full-time,Entry level,1,,Ranchi,,,,32,BookMyShow,Tickets,87%
2707861078,2021-06-04,Data Analyst,It Business/Data Analyst,Full-time,Associate,3,,Gurgaon,,,,32,AMD India,Semiconductors,87%
2721966889,2021-08-10,Business Analyst,Business Analyst With Lms,Contract,Mid-Senior level,7,,Raipur,,,,32,Blue Dart,Logistics,87%
2709749695,2018-08-15,Business Analyst,Remote Business Analyst,Full-time,Associate,2,,Bangalore,,,,31,TikTok India,Social media,87%
2658816887,2018-08-24,Data Scientist,Ediscovery Data Scientist,Full-time,Mid-Senior level,2,,Chennai,,,,31,Dunzo,Delivery,87%
2701122929,2019-06-21,Business Analyst,Servicenow Business Analyst,Full-time,Mid-Senior level,4,,Ahmedabad,,,,31,Aditya Birla Retail,Retail,87%
2688871979,2019-07-22,Business Analyst,Business Analyst,Contract,Mid-Senior level,5,,Gurgaon,2473000,2684000,hr,31,Zapak,Gaming,87%
2683501976,2020-05-15,Business Analyst,Business Analyst,Full-time,Mid-Senior level,9,,Noida,,,,31,Paytm Tickets,Tickets,87%
2692701790,2019-10-14,Business Analyst,Business Analyst,Full-time,Mid-Senior level,3,,Noida,,,,30,More Supermarket,Retail,86%
2744799370,2020-08-08,User Experience Researcher,User Experience Researcher,Contract,Associate,4,,New Delhi,,,,30,Chargebee,Software,86%
2732787001,2021-09-22,Solutions Engineer,Presales Solutions Engineer,Full-time,Associate,1,,Ahmedabad,,,,30,Sony India,Electronics,86%
2737083050,2017-08-05,Research Analyst,Market Research Analyst,Full-time,Associate,3,,Guwahati,,,,29,Cleartrip,Travel,85%
2688132338,2018-02-06,Business Analyst,Business Analyst,Full-time,Associate,4,,Kolkata,,,,29,DMart,Retail,85%
2681046339,2019-03-23,Product Manager,Product Manager,Contract,Mid-Senior level,6,,Ahmedabad,2378000,3193000,hr,29,Practo,Healthcare,85%
2675310146,2019-06-01,User Experience Researcher,User Experience Researcher,Full-time,Mid-Senior level,5,,Bangalore,,,,29,Viacom18,Media,85%
2589509028,2019-07-05,Developer,Uipath Developer,Full-time,Mid-Senior level,6,,Bangalore,,,,29,BigBasket,Grocery,85%
2683080027,2019-09-17,Credit Analyst,Credit Analyst,Contract,Mid-Senior level,4,,Bangalore,,,,29,1mg,Pharmacy,85%
2687880088,2020-01-20,Ux Researcher,Ux Researcher,Contract,Mid-Senior level,2,,Bhopal,,,,29,Mobile Premier League,Fantasy,85%
2683095508,2020-05-06,User Experience Researcher,User Experience Researcher,Full-time,Mid-Senior level,5,,Hyderabad,,,,29,LG Electronics India,Electronics,85%
2731443574,2021-09-16,Business Analyst,Business Analyst/Project Manager,Contract,Mid-Senior level,5,,Kolkata,2106000,2149000,hr,29,ABB India,Automation,85%
2694746593,2018-05-28,Data Analyst,Data Analyst Assistant,Full-time,Entry level,1,,Bangalore,,,,28,Persistent Systems,IT services,85%
2693669046,2018-10-20,Digital Analyst,Senior Digital Analyst,Full-time,Mid-Senior level,2,,Noida,,,,28,MakeMyTrip,Travel,85%
2738683361,2019-10-28,Business Process Analyst,Business Process Analyst Remote,Contract,Associate,3,,Noida,,,,28,Disney+ Hotstar,Streaming,85%
2680202962,2019-12-17,User Experience Researcher,User Experience Researcher,Full-time,Associate,3,,Kolkata,,,,28,Ace2Three,Rummy,85%
2676076505,2020-01-28,Ux Researcher,Ux Researcher,Contract,Associate,3,,Bangalore,"6,07,000.00","11,62,000.00",hr,28,1mg,Pharmacy,85%
2691107241,2020-02-26,Business Analyst,Retail Business Analyst,Full-time,Mid-Senior level,4,,Kolkata,,,,28,Fujitsu India,IT hardware,85%
2745385607,2020-05-27,Data Analyst,100% Remote Hiring Healthcare Business Data Analyst,Contract,Mid-Senior level,6,,Ranchi,,,,28,Oyo Rooms,Hotels,85%
2752362492,2020-07-02,User Experience Researcher,User Experience Researcher,Full-time,Mid-Senior level,0,,Chennai,2031000,1580000,hr,28,Texas Instruments India,Semiconductors,85%
2680697025,2020-11-06,Business System Analyst,Business System Analyst,Full-time,Mid-Senior level,5,,Bangalore,,,,28,Spencer's Retail,Retail,85%
2673999489,2021-01-14,Data Analyst,Portfolio Data Analyst,Full-time,Entry level,3,,Bangalore,,,,28,Toppr,Education,85%
2660714796,2021-03-03,Financial Analyst,Senior Financial Analyst,Full-time,Mid-Senior level,7,,Bangalore,,,,28,Myntra,Fashion,85%
2752465710,2017-01-17,User Experience Researcher,User Experience Researcher,Full-time,Entry level,2,,Raipur,,,,27,AMD India,Semiconductors,84%
2696392642,2019-08-21,Product Manager,Product Manager,Contract,Mid-Senior level,5,,Noida,2351000,2901000,hr,27,ZEE5,Streaming,84%
2714416361,2021-03-26,Business Analyst,Remote Senior Business Analyst,Contract,Associate,3,,Ahmedabad,,,,27,Paytm,Payments,84%
2613485340,2021-07-13,Product Manager,Senior Product Manager,Full-time,Associate,3,,Ahmedabad,,,,27,Microsoft Research India,Research,84%
2745603718,2021-12-04,Business Analyst,Senior Healthcare Claims Business Analyst,Full-time,Mid-Senior level,4,,Bangalore,1271000,3159000,yr,27,Capgemini India,IT services,84%
2752595151,2019-09-30,Software Engineer,Senior Software Engineer,Full-time,Mid-Senior level,3,,Bangalore,2060000,2464000,yr,26,Snapdeal,E-commerce,83%
2681777313,2019-12-20,Business System Analyst,Business System Analyst,Full-time,Mid-Senior level,0,,Hyderabad,,,,26,Oracle India,IT services,83%
2749789529,2020-05-24,Business Analyst,Healthcare Business Analyst,Full-time,Associate,4,,Ahmedabad,,,,26,1mg,Pharmacy,83%
2717078664,2020-12-23,Business Analyst,Senior Business Analyst,Contract,Mid-Senior level,3,,Jamshedpur,2298000,2527000,hr,26,Treebo Hotels,Hotels,83%
2668539044,2021-01-03,Operations Manager,Procurement/Operations Manager- Food Packaging Solutions,Full-time,Mid-Senior level,4,,Pune,1190000,2152000,yr,26,Flipkart,E-commerce,83%
2669939231,2017-12-27,Ux Researcher,"Senior Ux Researcher, Patient Experience",Full-time,Associate,3,,Bangalore,,,,25,Shopclues,E-commerce,83%
2717460318,2018-02-20,Business Analyst,Business Analyst,Contract,Associate,3,,Bhopal,,,,25,MyFab11,Fantasy,83%
2747694838,2018-07-10,Credit Analyst,Credit Analyst,Contract,Associate,4,,Mumbai,,,,25,TikTok India,Social media,83%
2647930866,2019-10-13,Data Analyst,Market Intelligence Data Analyst,Full-time,Associate,2,,Bhopal,,,,25,Shiprocket,Logistics,83%
2682307425,2019-12-07,Business Analyst,Lims Business Analyst,Contract,Mid-Senior level,4,,Bangalore,,,,25,Viacom18,Media,83%
2740904636,2019-12-24,Business Analyst,Senior Business Analyst,Contract,Mid-Senior level,2,,New Delhi,,,,25,FedEx India,Logistics,83%
2706529227,2020-06-21,Data Analyst,Business Data Analyst,Contract,Mid-Senior level,8,,Varanasi,,,,25,Edureka,Education,83%
2673999493,2020-07-28,Data Analyst,Portfolio Data Analyst,Full-time,Entry level,2,,Hyderabad,,,,25,Myntra,Fashion,83%
2688707049,2021-05-01,Ux Researcher,Ux Researcher,Full-time,Associate,3,,Ranchi,,,,25,Grofers,Grocery,83%
2748046477,2017-02-17,Financial Analyst,Financial Analyst Clinical Research,Full-time,Mid-Senior level,5,,Bhubneshwar,,,,24,Adobe India,Software,82%
2503801515,2018-01-31,Business Analyst,Senior Engagement Business Analyst- Fully Remote,Full-time,Associate,4,,Kolkata,,,,24,Zoho,Software,82%
2733289700,2020-06-13,Business System Analyst,Business System Analyst,Contract,Mid-Senior level,7,,Ahmedabad,,,,24,Rapido,Rides,82%
2718212700,2021-01-18,Business Analyst,Business Analyst,Contract,Associate,4,,Bangalore,,,,24,FabHotels,Hotels,82%
2753437001,2021-03-03,Business Analyst,Business Analyst,Full-time,Associate,4,,Noida,,,,24,Zomato,Food,82%
2687333651,2021-04-23,Systems Analyst,Business Systems Analyst,Full-time,Mid-Senior level,7,,Bangalore,,,,24,Delhivery,Logistics,82%
2689018538,2017-06-09,Credit Analyst,Credit Analyst,Contract,Mid-Senior level,4,,Noida,,,,23,Uber,Rides,81%
2669256594,2017-06-18,Developer,Servicenow Developer,Contract,Mid-Senior level,7,,New Delhi,,,,23,Reliance Fresh,Retail,81%
2690057043,2019-06-11,Business Analyst,Jr. Business Analyst,Contract,Mid-Senior level,7,,Ahmedabad,,,,23,Fujitsu India,IT hardware,81%
2676064174,2019-09-24,Business Analyst,Curam Business Analyst,Full-time,Mid-Senior level,4,,Pune,,,,23,Shopclues,E-commerce,81%
2685883457,2020-08-28,Credit Analyst,Credit Analyst,Contract,Mid-Senior level,5,,Bangalore,,,,23,HostGator,Hosting,81%
2749242727,2021-02-18,Data Analyst,Supply Chain Data Analyst,Full-time,Mid-Senior level,5,,Mysore,,,,23,Paytm,Payments,81%
